num_expediente,dia_hora,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona
2020S019534,2021-01-01 04:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor
2020S019534,2021-01-01 04:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor
2020S019534,2021-01-01 04:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor
2020S019534,2021-01-01 04:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2020S019534,2021-01-01 04:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S000001,2021-01-01 00:00:00,12.0,USERA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S000001,2021-01-01 00:00:00,12.0,USERA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S000001,2021-01-01 00:00:00,12.0,USERA,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S000001,2021-01-01 00:00:00,12.0,USERA,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S000001,2021-01-01 00:00:00,12.0,USERA,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S000003,2021-01-01 00:00:00,14.0,MORATALAZ,Colisión frontal,Lluvia débil,Turismo,Conductor
2021S000003,2021-01-01 00:00:00,14.0,MORATALAZ,Colisión frontal,Lluvia débil,Turismo,Conductor
2021S000004,2021-01-01 01:00:00,4.0,SALAMANCA,Atropello a persona,Nublado,Turismo,Conductor
2021S000004,2021-01-01 01:00:00,4.0,SALAMANCA,Atropello a persona,Nublado,Turismo,Peatón
2021S000005,2021-01-01 01:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Nublado,Turismo,Conductor
2021S000005,2021-01-01 01:00:00,13.0,PUENTE DE VALLECAS,Colisión fronto-lateral,Nublado,Turismo,Conductor
2021S000006,2021-01-01 01:00:00,20.0,SAN BLAS-CANILLEJAS,Otro,Nublado,Turismo,Conductor
2021S000010,2021-01-01 08:00:00,6.0,TETUÁN,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S000011,2021-01-01 08:00:00,11.0,CARABANCHEL,Alcance,Despejado,Autobús,Conductor
2021S000011,2021-01-01 08:00:00,11.0,CARABANCHEL,Alcance,Despejado,Turismo,Conductor
2021S000012,2021-01-01 01:00:00,10.0,LATINA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S000012,2021-01-01 01:00:00,10.0,LATINA,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero
2021S000012,2021-01-01 01:00:00,10.0,LATINA,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero
2021S000012,2021-01-01 01:00:00,10.0,LATINA,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero
2021S000014,2021-01-01 09:00:00,11.0,CARABANCHEL,Colisión fronto-lateral,Despejado,Turismo,Conductor
